IndivGroup,soundfile,S1_dur,Tcall_dur,RecSite,Lat,Long,LocCode,Region
AUA01,0211327a,0.156062224,0.153949799,A6,12.502354,-69.949779,AUA,isl
AUA01,0211344a,0.133488678,0.136569369,A6,12.502354,-69.949779,AUA,isl
AUA01,0211404a,0.140205388,0.143523552,A6,12.502354,-69.949779,AUA,isl
AUA01,0211409a,0.135627403,0.136668786,A6,12.502354,-69.949779,AUA,isl
AUA01,0211415a,0.148614862,0.144093969,A6,12.502354,-69.949779,AUA,isl
AUA01,0211427a,0.142474055,0.140149277,A6,12.502354,-69.949779,AUA,isl
AUA01,0211435a,0.139450297,0.136521317,A6,12.502354,-69.949779,AUA,isl
AUA01,0211436a,0.154932895,0.146209835,A6,12.502354,-69.949779,AUA,isl
AUA02,0211551a,0.12580793,0.49294143,A6,12.502354,-69.949779,AUA,isl
AUA02,0211600a,0.109995498,0.365131585,A6,12.502354,-69.949779,AUA,isl
AUA02,0211614a,0.112893055,0.34793435,A6,12.502354,-69.949779,AUA,isl
AUA02,0211629a,0.112290393,0.348290676,A6,12.502354,-69.949779,AUA,isl
AUA02,0211637a,0.119286813,0.343066393,A6,12.502354,-69.949779,AUA,isl
AUA02,0211650a,0.12312908,0.407206267,A6,12.502354,-69.949779,AUA,isl
AUA02,0211659a,0.117690123,0.331660538,A6,12.502354,-69.949779,AUA,isl
AUA02,0211707a,0.130618131,0.128016707,A6,12.502354,-69.949779,AUA,isl
AUA02,0211717a,0.124098738,0.31261619,A6,12.502354,-69.949779,AUA,isl
AUA02,0211727a,0.114360307,0.340172239,A6,12.502354,-69.949779,AUA,isl
AUA02,0211732a,0.112060424,0.306452201,A6,12.502354,-69.949779,AUA,isl
AUA02,0211742a,0.117846524,0.353129962,A6,12.502354,-69.949779,AUA,isl
AUA02,0211750a,0.112046667,0.112192091,A6,12.502354,-69.949779,AUA,isl
AUA02,0211759a,0.126966904,0.334758786,A6,12.502354,-69.949779,AUA,isl
AUA02,0211821a,0.117286487,0.462855242,A6,12.502354,-69.949779,AUA,isl
AUA02,0211824a,0.116391272,0.474876306,A6,12.502354,-69.949779,AUA,isl
AUA02,0211826a,0.109750781,0.483272087,A6,12.502354,-69.949779,AUA,isl
AUA02,0211830a,0.111488434,0.47498419,A6,12.502354,-69.949779,AUA,isl
AUA02,0211834a,0.107799481,0.484212687,A6,12.502354,-69.949779,AUA,isl
AUA02,0211840a,0.105855931,0.46662073,A6,12.502354,-69.949779,AUA,isl
AUA02,0211847a,0.110950233,0.475762409,A6,12.502354,-69.949779,AUA,isl
AUA02,0211852a,0.122472381,0.468960243,A6,12.502354,-69.949779,AUA,isl
AUA02,0211856a,0.114276647,0.459562207,A6,12.502354,-69.949779,AUA,isl
AUA02,0211909a,0.134817881,0.134754921,A6,12.502354,-69.949779,AUA,isl
AUA02,0211917a,0.121744192,0.352491496,A6,12.502354,-69.949779,AUA,isl
AUA02,0212003a,0.126860132,0.342586462,A6,12.502354,-69.949779,AUA,isl
AUA03,0212127a,0.096056436,0.455286119,A7,12.460955,-69.9438,AUA,isl
AUA03,0212132a,0.112257668,0.4349425,A7,12.460955,-69.9438,AUA,isl
AUA03,0212142a,0.107577409,0.422756631,A7,12.460955,-69.9438,AUA,isl
AUA03,0212147a,0.121140004,0.241007644,A7,12.460955,-69.9438,AUA,isl
AUA03,0212150a,0.106870463,0.436482948,A7,12.460955,-69.9438,AUA,isl
AUA03,0212153a,0.113107181,0.264772985,A7,12.460955,-69.9438,AUA,isl
AUA03,0212157a,0.110165005,0.23163724,A7,12.460955,-69.9438,AUA,isl
AUA03,0212200a,0.12461797,0.263077838,A7,12.460955,-69.9438,AUA,isl
AUA03,0212204a,0.104776862,0.244692847,A7,12.460955,-69.9438,AUA,isl
AUA03,0212206a,0.109382564,0.243702039,A7,12.460955,-69.9438,AUA,isl
AUA03,0212209a,0.103884128,0.239903802,A7,12.460955,-69.9438,AUA,isl
AUA03,0212214a,0.100977485,0.255882261,A7,12.460955,-69.9438,AUA,isl
